"Year","GEOID","NAME","variable","estimate","moe","sex","label"
"2010","01","Alabama","B24020_019",61862,4188,"Male","Computer, engineering, and science occupations:"
"2010","01","Alabama","B24020_020",24728,2735,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","01","Alabama","B24020_021",22929,2501,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","01","Alabama","B24020_022",3447,905,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","01","Alabama","B24020_023",10092,1633,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","01","Alabama","B24020_024",3459,921,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","01","Alabama","B24020_025",5931,1328,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","01","Alabama","B24020_026",1799,786,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","01","Alabama","B24020_027",32214,3007,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","01","Alabama","B24020_028",1244,614,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","01","Alabama","B24020_029",23186,2544,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","01","Alabama","B24020_030",7784,1334,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","01","Alabama","B24020_031",4920,1190,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","01","Alabama","B24020_032",2592,778,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","01","Alabama","B24020_033",701,517,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","01","Alabama","B24020_034",1627,628,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","02","Alaska","B24020_019",10246,1641,"Male","Computer, engineering, and science occupations:"
"2010","02","Alaska","B24020_020",3431,908,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","02","Alaska","B24020_021",3299,883,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","02","Alaska","B24020_022",500,316,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","02","Alaska","B24020_023",1151,502,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","02","Alaska","B24020_024",600,346,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","02","Alaska","B24020_025",1048,487,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","02","Alaska","B24020_026",132,191,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","02","Alaska","B24020_027",3991,1135,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","02","Alaska","B24020_028",300,268,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","02","Alaska","B24020_029",2561,980,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","02","Alaska","B24020_030",1130,397,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","02","Alaska","B24020_031",2824,762,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","02","Alaska","B24020_032",1609,636,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","02","Alaska","B24020_033",484,314,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","02","Alaska","B24020_034",731,439,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","04","Arizona","B24020_019",99874,5185,"Male","Computer, engineering, and science occupations:"
"2010","04","Arizona","B24020_020",46711,4114,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","04","Arizona","B24020_021",45268,4111,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","04","Arizona","B24020_022",5848,1350,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","04","Arizona","B24020_023",18558,2296,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","04","Arizona","B24020_024",5795,1130,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","04","Arizona","B24020_025",15067,2258,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","04","Arizona","B24020_026",1443,766,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","04","Arizona","B24020_027",45700,3023,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","04","Arizona","B24020_028",2099,703,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","04","Arizona","B24020_029",31687,2506,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","04","Arizona","B24020_030",11914,1993,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","04","Arizona","B24020_031",7463,1719,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","04","Arizona","B24020_032",4569,1377,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","04","Arizona","B24020_033",1538,574,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","04","Arizona","B24020_034",1356,875,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","05","Arkansas","B24020_019",23553,2519,"Male","Computer, engineering, and science occupations:"
"2010","05","Arkansas","B24020_020",11427,1944,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","05","Arkansas","B24020_021",10751,1884,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","05","Arkansas","B24020_022",1668,617,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","05","Arkansas","B24020_023",3465,1133,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","05","Arkansas","B24020_024",2091,774,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","05","Arkansas","B24020_025",3527,1305,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","05","Arkansas","B24020_026",676,651,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","05","Arkansas","B24020_027",9219,1477,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","05","Arkansas","B24020_028",661,346,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","05","Arkansas","B24020_029",6021,1223,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","05","Arkansas","B24020_030",2537,813,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","05","Arkansas","B24020_031",2907,904,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","05","Arkansas","B24020_032",1482,578,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","05","Arkansas","B24020_033",188,190,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","05","Arkansas","B24020_034",1237,635,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","06","California","B24020_019",606915,13040,"Male","Computer, engineering, and science occupations:"
"2010","06","California","B24020_020",285748,9571,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","06","California","B24020_021",277648,9515,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","06","California","B24020_022",34219,3177,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","06","California","B24020_023",158934,6920,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","06","California","B24020_024",30892,2741,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","06","California","B24020_025",53603,3923,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","06","California","B24020_026",8100,1494,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","06","California","B24020_027",251616,7778,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","06","California","B24020_028",15613,1854,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","06","California","B24020_029",193829,6796,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
