"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Alabama","B24020_019","Male","Computer, engineering, and science occupations:",61862
"2010","Alabama","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",24728
"2010","Alabama","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",22929
"2010","Alabama","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",3447
"2010","Alabama","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",10092
"2010","Alabama","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",3459
"2010","Alabama","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",5931
"2010","Alabama","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",1799
"2010","Alabama","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",32214
"2010","Alabama","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",1244
"2010","Alabama","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",23186
"2010","Alabama","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",7784
"2010","Alabama","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",4920
"2010","Alabama","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",2592
"2010","Alabama","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",701
"2010","Alabama","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1627
"2010","Alaska","B24020_019","Male","Computer, engineering, and science occupations:",10246
"2010","Alaska","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",3431
"2010","Alaska","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",3299
"2010","Alaska","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",500
"2010","Alaska","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",1151
"2010","Alaska","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",600
"2010","Alaska","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",1048
"2010","Alaska","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",132
"2010","Alaska","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",3991
"2010","Alaska","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",300
"2010","Alaska","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",2561
"2010","Alaska","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",1130
"2010","Alaska","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",2824
"2010","Alaska","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",1609
"2010","Alaska","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",484
"2010","Alaska","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",731
"2010","Arizona","B24020_019","Male","Computer, engineering, and science occupations:",99874
"2010","Arizona","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",46711
"2010","Arizona","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",45268
"2010","Arizona","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",5848
"2010","Arizona","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",18558
"2010","Arizona","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",5795
"2010","Arizona","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",15067
"2010","Arizona","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",1443
"2010","Arizona","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",45700
"2010","Arizona","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",2099
"2010","Arizona","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",31687
"2010","Arizona","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",11914
"2010","Arizona","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",7463
"2010","Arizona","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",4569
"2010","Arizona","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",1538
